code,type,floor,isin,status,companyName,companyNameEng,shortName,shortNameEng,listedDate,companyId,taxCode,delistedDate,indexCode
QTC,STOCK,HNX,VN000000QTC6,listed,Công ty Cổ phần Công trình giao thông Vận tải Quảng Nam,Quang Nam Transportion Construction Joint Stock Company,C.trình GTVT Q.Nam,Quang Nam Cons,2009-01-16,2377,4000390766,,
BST,STOCK,HNX,VN000000BST4,listed,Công ty Cổ phần Sách - Thiết bị Bình Thuận ,Binh Thuan Book and Equipment Joint Stock Company,Sách Bình Thuận,Binh Thuan Books & Equipments,2008-12-18,2407,3400393632,,
PMC,STOCK,HNX,VN000000PMC3,listed,Công ty Cổ phần Dược phẩm dược liệu Pharmedic ,Pharmedic Pharmaceutical Medicinal Joint Stock Company.,Dược Pharmedic,Pharmedic Pharma,2009-10-09,2538,0300483037,,
NPM11910,BOND,HNX,VNONPM119102,delisted,Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,,,,2021-12-31,6126,,2022-06-02,
NPM11907,BOND,HNX,VN0NPM119078,delisted,Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,,,,2021-12-31,6126,,2022-10-17,
NPM123024,BOND,HNX,VNNPM1230242,listed,Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo,,,,2023-10-31,6126,,,
KBC121020,BOND,HNX,VNKBC1210209,delisted,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP,KinhBac City Developement Holding Corporation,Đô thị Kinh Bắc,Kinh Bac Urban Development,2021-10-26,2166,2300233993,2023-06-09,
KBC12006,BOND,HNX,VN0KBC120069,delisted,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP,KinhBac City Developement Holding Corporation,Đô thị Kinh Bắc,Kinh Bac Urban Development,2021-12-31,2166,2300233993,2022-01-27,
PHN,STOCK,HNX,VN000000PHN0,listed,Công ty cổ phần Pin Hà Nội,Ha noi Batteries Joint Stock Company,Pin Hà Nội,Habaco,2019-03-13,4947,0100100752,,
HVT,STOCK,HNX,VN000000HVT5,listed,Công ty Cổ phần Hóa chất Việt Trì,Viet Tri Chemical Joint Stock Company,Hóa chất Việt Trì,Viet Tri Chemical,2009-05-08,2454,2600108217,,
SCI,STOCK,HNX,VN000000SCI5,listed,Công ty cổ phần SCI E&C,SCI E&C Joint stock company,CTCP SCI E&C,SCI E&C,2016-01-05,3975,0500574676,,
CLM,STOCK,HNX,VN000000CLM2,listed,Công ty cổ phần Xuất nhập khẩu Than - Vinacomin,VINACOMIN - COAL IMPORT EXPORT  JOINT STOCK COMPANY,XNK Than Vinacomin,Coalimex,2016-04-15,4047,0100100304,,
